"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FSimpleElementVS","Global","SF_Vertex","1","517"
"FSimulationShaderDefaultCS","Global","SF_Compute","1","11061"
"FSkinUpdateCS","Global","SF_Compute","18","25003"
"FSlateDebugBatchingPS","Global","SF_Pixel","1","282"
"FSlateDebugOverdrawPS","Global","SF_Pixel","1","269"
"FSlateElementVS","Global","SF_Vertex","1","657"
"FSlateMaskingPS","Global","SF_Pixel","1","182"
"FSlateMaskingVS","Global","SF_Vertex","1","359"
"FSlatePostProcessBlurPS","Global","SF_Pixel","1","782"
"FSlatePostProcessColorDeficiencyPS","Global","SF_Pixel","1","2004"
"FSlatePostProcessDownsamplePS","Global","SF_Pixel","1","494"
"FSlatePostProcessUpsamplePS","Global","SF_Pixel","3","2923"
"FSparseVolumeTextureUpdateFromSparseBufferCS","Global","SF_Compute","3","2914"
"FSparseVolumeTextureUpdatePageTableCS","Global","SF_Compute","1","414"
"FStereoLayerPS","Global","SF_Pixel","1","314"
"FStereoLayerPS_External","Global","SF_Pixel","1","314"
"FStereoLayerVS","Global","SF_Vertex","1","443"
"FTonemapPS","Global","SF_Pixel","100","173789"
"FTonemapVS","Global","SF_Vertex","1","688"
"FTransferVelocityPassCS","Global","SF_Compute","1","341"
"FUYVYConvertPS","Global","SF_Pixel","1","714"
"FUpscalePS","Global","SF_Pixel","4","1474"
"FUpscaleVS","Global","SF_Vertex","1","561"
"FVYUConvertPS","Global","SF_Pixel","1","1057"
"FVisualizeBufferPS","Global","SF_Pixel","1","677"
"FVisualizeComplexityApplyPS","Global","SF_Pixel","2","4838"
"FVisualizeLevelInstancePS","Global","SF_Pixel","4","5335"
"FVisualizeMotionVectorsPS","Global","SF_Pixel","1","1107"
"FVisualizeNanitePS","Global","SF_Pixel","1","677"
"FVisualizeTexturePS","Global","SF_Pixel","6","4163"
"FVisualizeVirtualTextureApplyPS","Global","SF_Pixel","1","607"
"FVolumetricFogFinalIntegrationCS","Global","SF_Compute","1","958"
"FVolumetricFogLightScatteringCS","Global","SF_Compute","4","22101"
"FVolumetricFogMaterialSetupCS","Global","SF_Compute","4","5978"
"FWaterInfoTextureBlurPS","Global","SF_Pixel","1","629"
"FWaterInfoTextureMergePS","Global","SF_Pixel","1","926"
"FWholeSceneDirectionalShadowStencilVS","Global","SF_Vertex","1","419"
"FWriteToBoundingSphereVS","Global","SF_Vertex","1","672"
