"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FDebugVariableRateShadingPS","Global","SF_Pixel","1","2305"
"FDeepShadowCreateViewInfoCS","Global","SF_Compute","1","12251"
"FDeepShadowInfoCS","Global","SF_Compute","1","38056"
"FDeepShadowVisualizePS","Global","SF_Pixel","2","5213"
"FDeferredDecalVS","Global","SF_Vertex","1","2090"
"FDeferredLightHairVS","Global","SF_Vertex","1","2589"
"FDeferredLightOverlapPS","Global","SF_Pixel","2","5378"
"FDeferredLightPS","Global","SF_Pixel","302","6699243"
"FDeferredLightVS","Global","SF_Vertex","2","6096"
"FDeformGuideCS","Global","SF_Compute","5","14813"
"FDenoiserSpatialCS","Global","SF_Compute","6","47746"
"FDenoiserTemporalCS","Global","SF_Compute","6","52482"
"FDesaturatePS","Global","SF_Pixel","1","2115"
"FDeviceEncodingOnlyCS","Global","SF_Compute","4","36534"
"FDeviceEncodingOnlyPS","Global","SF_Pixel","4","36169"
"FDiaphragmDOFBuildBokehLUTCS","Global","SF_Compute","6","13762"
"FDiaphragmDOFCocDilateCS","Global","SF_Compute","9","57785"
"FDiaphragmDOFCocFlattenCS","Global","SF_Compute","4","13732"
"FDiaphragmDOFDownsampleCS","Global","SF_Compute","2","7318"
"FDiaphragmDOFGatherCS","Global","SF_Compute","82","1047209"
"FDiaphragmDOFHybridScatterPS","Global","SF_Pixel","12","54321"
"FDiaphragmDOFHybridScatterVS","Global","SF_Vertex","2","7320"
"FDiaphragmDOFPostfilterCS","Global","SF_Compute","8","28018"
"FDiaphragmDOFRecombineCS","Global","SF_Compute","42","320547"
"FDiaphragmDOFReduceCS","Global","SF_Compute","21","125589"
"FDiaphragmDOFScatterGroupPackCS","Global","SF_Compute","3","7804"
"FDiaphragmDOFSetupCS","Global","SF_Compute","6","28219"
"FDiffuseIndirectCompositePS","Global","SF_Pixel","33","307424"
"FDispatchShaderBundleWorkGraph","Global","SF_WorkGraphComputeNode","1","2820"
"FDisplacementMapBlendPS","Global","SF_Pixel","4","12900"
"FDistanceFieldAOUpsamplePS","Global","SF_Pixel","2","7475"
"FDistanceFieldShadowingCS","Global","SF_Compute","360","2998364"
"FDistanceFieldShadowingUpsamplePS","Global","SF_Pixel","2","6905"
"FDistortionApplyScreenPS","Global","SF_Pixel","2","5443"
"FDistortionMergeScreenPS","Global","SF_Pixel","4","9809"
"FDitheredTransitionStencilCS","Global","SF_Compute","1","2121"
"FDitheredTransitionStencilPS","Global","SF_Pixel","1","1960"
"FDownsampleCS","Global","SF_Compute","2","5160"
"FDownsampleCubeFaceCS","Global","SF_Compute","1","3467"
"FDownsampleDepthPS","Global","SF_Pixel","3","7903"
"FDownsampleIntegrateCubemapIlluminancePS","Global","SF_Pixel","1","2988"
"FDownsampleLightShaftsPixelShader","Global","SF_Pixel","2","6318"
"FDownsampleLightShaftsVertexShader","Global","SF_Vertex","1","2861"
"FDownsamplePS","Global","SF_Pixel","2","5082"
"FDownsampleSceneColorCS","Global","SF_Compute","1","2289"
"FDrawBricksPS","Global","SF_Pixel","1","4647"
"FDrawBricksVS","Global","SF_Vertex","1","5124"
"FDrawDebugCardAtlasCS","Global","SF_Compute","1","2479"
"FDrawDebugCardGuidesCS","Global","SF_Compute","1","4319"
"FDrawDebugCloudShadowCS","Global","SF_Compute","1","4189"
"FDrawDebugClusterAABBCS","Global","SF_Compute","1","32782"
"FDrawDebugStrandsCVsCS","Global","SF_Compute","1","9649"
"FDrawDistortionDisplacementMapCS","Global","SF_Compute","3","7894"
"FDrawTexturePS","Global","SF_Pixel","1","2221"
"FDumpTextureCS","Global","SF_Compute","3","5565"
"FExponentialHeightFogPS","Global","SF_Pixel","32","225494"
"FExrSwizzlePS","Global","SF_Pixel","12","40763"
"FExrSwizzleVS","Global","SF_Vertex","1","2255"
"FEyeAdaptationCS","Global","SF_Compute","2","18503"
"FFXAAPS","Global","SF_Pixel","12","60486"
"FFillArgsCS","Global","SF_Compute","1","3488"
"FFillBlocksCS","Global","SF_Compute","1","4080"
"FFillMipsConditionBufferCS","Global","SF_Compute","1","1902"
"FFillSTDisplacementMapPS","Global","SF_Pixel","1","1959"
"FFillSTDisplacementMapVS","Global","SF_Vertex","1","2623"
"FFillTextureCS","Global","SF_Compute","1","1905"
"FFilmGrainPackConstantsCS","Global","SF_Compute","1","2055"
"FFilmGrainReduceCS","Global","SF_Compute","1","2889"
"FFilterCS","Global","SF_Compute","132","558409"
"FFilterHistoryPS","Global","SF_Pixel","2","5875"
"FFilterPS","Global","SF_Pixel","132","572706"
"FFilterSceneColorCS","Global","SF_Compute","1","2503"
"FFilterTranslucentVolumeCS","Global","SF_Compute","3","10200"
"FFilterVS","Global","SF_Vertex","16","43333"
"FFilterVisibleLightHashCS","Global","SF_Compute","1","3795"
"FFinishOcclusionPixelShader","Global","SF_Pixel","1","2476"
"FFusionBlendCS","Global","SF_Compute","2","5242"
"FFusionSetupCS","Global","SF_Compute","1","7687"
"FGLTFSimpleElementNormalMapPS","Global","SF_Pixel","1","2196"
"FGLTFSimpleTexture2DPS","Global","SF_Pixel","1","2043"
"FGPUDebugCrashUtilsCS","Global","SF_Compute","8","17810"
"FGPUMorphNormalizeCS","Global","SF_Compute","1","2368"
"FGPUMorphUpdateCS","Global","SF_Compute","1","4203"
"FGPUSceneDebugRenderCS","Global","SF_Compute","1","31098"
"FGPUSceneSetInstancePrimitiveIdCS","Global","SF_Compute","1","4095"
"FGSComplexTransformCS","Global","SF_Compute","12","95695"
"FGSConvolutionWithTextureCS","Global","SF_Compute","12","141187"
"FGSTwoForOneTransformCS","Global","SF_Compute","12","232802"
"FGTAOHorizonSearchAndIntegrateCS","Global","SF_Compute","10","87835"
"FGTAOHorizonSearchCS","Global","SF_Compute","5","56818"
"FGTAOInnerIntegratePS","Global","SF_Pixel","1","4404"
"FGTAOSpatialFilterCS","Global","SF_Compute","1","3574"
"FGTAOTemporalFilterCS","Global","SF_Compute","1","4271"
"FGTAOUpsamplePS","Global","SF_Pixel","1","2597"
"FGatherMarkedVoxelsCS","Global","SF_Compute","1","2278"
"FGenerateConservativeDepthBufferCS","Global","SF_Compute","1","3909"
"FGenerateDistanceFieldAssetStreamingRequestsCS","Global","SF_Compute","1","2517"
"FGenerateLightSamplesCS","Global","SF_Compute","90","5823091"
"FGenerateMipCS","Global","SF_Compute","1","2686"
"FGenerateMipsCS","Global","SF_Compute","4","9210"
"FGenerateMipsIndirectCS","Global","SF_Compute","4","9210"
"FGenerateMipsPS","Global","SF_Pixel","1","2341"
"FGenerateMipsVS","Global","SF_Vertex","1","1703"
"FGeneratePaniniUVDisplacementCS","Global","SF_Compute","1","2727"
"FGeometryAwareUpsamplePS","Global","SF_Pixel","1","4538"
"FGlobalDistanceFieldAccumulateUpdatedPagesCS","Global","SF_Compute","1","1901"
"FGlobalDistanceFieldDebugCS","Global","SF_Compute","1","5674"
"FGlobalDistanceFieldPageStatsCS","Global","SF_Compute","1","3034"
"FGroomCacheUpdatePassCS","Global","SF_Compute","1","3587"
"FGroupShardSubFFTPassCS","Global","SF_Compute","1","5839"
"FHMDDistortionPS","Global","SF_Pixel","1","2695"
"FHMDDistortionVS","Global","SF_Vertex","1","2419"
"FHZBBuildCS","Global","SF_Compute","48","172249"
"FHZBBuildPS","Global","SF_Pixel","2","5052"
"FHZBTestPS","Global","SF_Pixel","1","5920"
"FHairAttributeDebugCS","Global","SF_Compute","1","10342"
"FHairCardsDeformationCS","Global","SF_Compute","2","9137"
"FHairClusterAABBCS","Global","SF_Compute","2","7762"
"FHairClusterCullArgsCS","Global","SF_Compute","1","2420"
"FHairClusterCullCS","Global","SF_Compute","5","22431"
"FHairCountToCoverageCS","Global","SF_Compute","2","4657"
"FHairCoverageLUTCS","Global","SF_Compute","1","1976"
"FHairCullSegmentCS","Global","SF_Compute","1","4839"
"FHairDOFDepthPS","Global","SF_Pixel","1","2469"
"FHairDebugPS","Global","SF_Pixel","1","4673"
"FHairDebugPrintCS","Global","SF_Compute","1","99157"
"FHairDebugPrintHairSkinCacheCS","Global","SF_Compute","1","22879"
"FHairDebugPrintInstanceCS","Global","SF_Compute","1","128190"
"FHairDebugPrintMemoryCS","Global","SF_Compute","1","230370"
